,year,landsat_jas_mean_km2,landsat_max_km2,sentinel_jas_mean_km2,il_annual_km2
0,1984,6232.728656470588,7345.572130588235,,
1,1985,,4054.5301835294113,,
2,1986,,3662.557838823529,,
3,1987,3471.7955352941176,4224.9313552941185,,
4,1989,6494.046951764706,8972.777025882353,,
5,1990,4649.806235294118,5799.202005882354,,7565.688077647059
6,1991,4063.201282352941,5661.08084117647,,7278.9558776470585
7,1992,4526.2357576470595,5603.751885882352,,7860.16560352941
8,1993,4027.3077388235297,4247.485087058823,,
9,1994,3355.7149952941177,4443.614332941176,,5926.728617647059
10,1995,2964.7256941176474,3702.216589411765,,5432.414004705883
11,1996,1693.4827952941178,1755.5708470588233,,4486.085230588235
12,1997,3078.902971764706,3907.8788752941177,,5345.388275294118
13,1998,2865.5098776470586,3526.941296470588,,5416.094657647058
14,1999,3252.7094611764705,3252.7094611764705,,6491.548281176471
15,2000,3897.278435294118,6314.836955294118,,
16,2001,5064.690543529411,5764.562982352942,,7632.5576152941185
17,2002,3817.505836470588,4631.754977647058,,6072.6179858823525
18,2003,,2479.0759341176467,,5329.175004705883
19,2004,5412.6178082352935,6180.81426,,8208.49465764706
20,2005,4156.669052941176,5065.337717647059,,6917.729975294118
21,2006,4660.161875294117,6519.217203529412,,7425.1529082352945
22,2007,4986.382045882353,5408.847892941177,,8476.415904705882
23,2008,3857.274931764706,5587.601823529411,,7322.761729411765
24,2009,,6279.481842352941,,
25,2010,,8762.514783529412,,
26,2011,,,,10256.240410588232
27,2013,3723.1276294117647,4417.338515294117,,7434.947322352941
28,2014,4639.066527058822,5844.6879847058835,,8337.125032941176
29,2015,3905.2026647058824,5054.445822352941,,7859.575387058821
30,2016,4178.038828235294,4878.348635294117,,7260.05965764706
31,2017,3424.978249411765,5421.217397647059,,7825.334915294117
32,2018,4099.47998235294,4963.6592364705875,,7019.2469294117645
33,2019,1452.9263176470588,1575.0831564705884,1073.0944814379084,3617.119348235294
34,2020,4251.977019999999,4779.3128611764705,3509.7176465359476,6708.902601176469
35,2021,1978.6258694117648,4081.0835505882355,1555.5921450980393,4986.701805882352
36,2022,3146.8151552941176,3650.7754235294115,2877.3781607843134,5348.955412941176
37,2023,2423.659702352941,2764.7066752941173,2007.9110380392158,4417.7175635294125
38,2024,2206.389176470588,2475.506410588235,1880.7883011764707,4531.116201176471
39,2025,4502.928712941177,4556.858103529413,3335.8142105882353,
